Area,Age,Sex,Year at 30 June,Value,Flags
"506002 Stillwater","Total people, age","Total people, sex","2017",990,
"506001 Weiti River","Total people, age","Total people, sex","2017",530,
"505911 Gulf Harbour Marina","Total people, age","Total people, sex","2017",30,
"505910 Gulf Harbour","Total people, age","Total people, sex","2017",2980,
"505909 Wade Heads","Total people, age","Total people, sex","2017",3750,
"505908 Stanmore Bay East","Total people, age","Total people, sex","2017",2920,
"505907 Stanmore Bay West","Total people, age","Total people, sex","2017",2970,
"505906 Vipond","Total people, age","Total people, sex","2017",3160,
"505904 Army Bay","Total people, age","Total people, sex","2017",4580,
"505902 Manly","Total people, age","Total people, sex","2017",7440,
"505808 Red Beach East","Total people, age","Total people, sex","2017",4280,
"505807 Red Beach West","Total people, age","Total people, sex","2017",2730,
"505806 Silverdale Central","Total people, age","Total people, sex","2017",4530,
"505805 Orewa","Total people, age","Total people, sex","2017",9170,
"505804 Hatfields Beach","Total people, age","Total people, sex","2017",1520,
"505803 Waiwera","Total people, age","Total people, sex","2017",330,
"505700 Waipareira West","Total people, age","Total people, sex","2017",1070,
"505605 Kumeu West","Total people, age","Total people, sex","2017",1990,
"505604 Kumeu East","Total people, age","Total people, sex","2017",1660,
"505603 Riverhead Urban","Total people, age","Total people, sex","2017",1710,
"505602 Huapai","Total people, age","Total people, sex","2017",2400,
"505601 Waimauku","Total people, age","Total people, sex","2017",1170,
"505500 Warkworth","Total people, age","Total people, sex","2017",4760,
"505400 Leigh","Total people, age","Total people, sex","2017",490,
"505300 Wellsford","Total people, age","Total people, sex","2017",2030,
"615302 Inlet-Mangawhai Harbour","Total people, age","Total people, sex","2017",0,
"505022 Mangawhai Heads","Total people, age","Total people, sex","2017",1420,
"505021 Mangawhai","Total people, age","Total people, sex","2017",1860,
"505010 Rehia-Oneriri","Total people, age","Total people, sex","2017",6290,
"504900 Kaiwaka","Total people, age","Total people, sex","2017",690,
"504800 Ruawai","Total people, age","Total people, sex","2017",490,
"504700 Maungaturoto","Total people, age","Total people, sex","2017",890,
"504600 Dargaville","Total people, age","Total people, sex","2017",5080,
"504502 Maungaru","Total people, age","Total people, sex","2017",1910,
"504501 Kaipara Coastal","Total people, age","Total people, sex","2017",3350,
"504400 Te Kopuru","Total people, age","Total people, sex","2017",540,
"615301 Inlet-Port Whangarei","Total people, age","Total people, sex","2017",0,
"615102 Inlet-Whangarei Harbour","Total people, age","Total people, sex","2017",10,
"615101 Inlet-Tutukaka Harbour","Total people, age","Total people, sex","2017",30,
"504300 Hikurangi","Total people, age","Total people, sex","2017",1640,
"504100 Onerahi","Total people, age","Total people, sex","2017",2480,
"504000 Sherwood Rise","Total people, age","Total people, sex","2017",4370,
"503900 Port-Limeburners","Total people, age","Total people, sex","2017",50,
"503800 Raumanga West","Total people, age","Total people, sex","2017",3410,
"503700 Parahaki","Total people, age","Total people, sex","2017",1320,
"503600 Morningside","Total people, age","Total people, sex","2017",2480,
"515500 Arch Hill","Total people, age","Total people, sex","2017",2110,
"515432 St Lukes North","Total people, age","Total people, sex","2017",920,
"515431 Surrey Crescent","Total people, age","Total people, sex","2017",3370,
"515420 Grey Lynn East","Total people, age","Total people, sex","2017",3930,
"515410 Grey Lynn West","Total people, age","Total people, sex","2017",4040,
"515302 Ponsonby East","Total people, age","Total people, sex","2017",3910,
"515301 Ponsonby West","Total people, age","Total people, sex","2017",2790,
"515202 St Marys","Total people, age","Total people, sex","2017",3520,
"515201 Herne Bay","Total people, age","Total people, sex","2017",3040,
"515100 Westmere","Total people, age","Total people, sex","2017",5670,
"515003 Point Chevalier South","Total people, age","Total people, sex","2017",1880,
"515002 Point Chevalier East","Total people, age","Total people, sex","2017",5030,
"515001 Point Chevalier West","Total people, age","Total people, sex","2017",3820,
"514900 Waterview","Total people, age","Total people, sex","2017",3880,
"514802 Avondale West","Total people, age","Total people, sex","2017",5700,
"514801 Rosebank","Total people, age","Total people, sex","2017",5440,
"514700 Blockhouse Bay","Total people, age","Total people, sex","2017",6780,
"514600 Avondale South","Total people, age","Total people, sex","2017",6400,
"514500 New Windsor","Total people, age","Total people, sex","2017",7730,
"514402 Glenavon","Total people, age","Total people, sex","2017",7490,
"514401 Roberton","Total people, age","Total people, sex","2017",6270,
"514302 Grafton East","Total people, age","Total people, sex","2017",1480,
"514301 Grafton West","Total people, age","Total people, sex","2017",4910,
