Area,Age,Sex,Year at 30 June,Value,Flags
"505603 Riverhead Urban","Total people, age","Total people, sex","2016",1600,
"505604 Kumeu East","Total people, age","Total people, sex","2016",1620,
"505605 Kumeu West","Total people, age","Total people, sex","2016",1950,
"505700 Waipareira West","Total people, age","Total people, sex","2016",1060,
"505803 Waiwera","Total people, age","Total people, sex","2016",330,
"505804 Hatfields Beach","Total people, age","Total people, sex","2016",1500,
"505805 Orewa","Total people, age","Total people, sex","2016",9200,
"505806 Silverdale Central","Total people, age","Total people, sex","2016",3430,
"505807 Red Beach West","Total people, age","Total people, sex","2016",2720,
"505808 Red Beach East","Total people, age","Total people, sex","2016",4230,
"505902 Manly","Total people, age","Total people, sex","2016",7350,
"505904 Army Bay","Total people, age","Total people, sex","2016",4500,
"505906 Vipond","Total people, age","Total people, sex","2016",3100,
"505907 Stanmore Bay West","Total people, age","Total people, sex","2016",2900,
"505908 Stanmore Bay East","Total people, age","Total people, sex","2016",2880,
"505909 Wade Heads","Total people, age","Total people, sex","2016",3670,
"505910 Gulf Harbour","Total people, age","Total people, sex","2016",2890,
"505911 Gulf Harbour Marina","Total people, age","Total people, sex","2016",30,
"506001 Weiti River","Total people, age","Total people, sex","2016",520,
"506002 Stillwater","Total people, age","Total people, sex","2016",960,
"506003 Silverdale South","Total people, age","Total people, sex","2016",1220,
"506201 Silverdale North","Total people, age","Total people, sex","2016",920,
"506202 Orewa West","Total people, age","Total people, sex","2016",200,
"506300 Dairy Flat-Redvale","Total people, age","Total people, sex","2016",2950,
"506400 Paremoremo West","Total people, age","Total people, sex","2016",880,
"506613 Tauhoa-Puhoi","Total people, age","Total people, sex","2016",5040,
"506614 Tahekeroa","Total people, age","Total people, sex","2016",4260,
"506616 Matheson Bay","Total people, age","Total people, sex","2016",150,
"506620 Kawau","Total people, age","Total people, sex","2016",90,
"506631 Snells Beach","Total people, age","Total people, sex","2016",4030,
"506633 Algies Bay","Total people, age","Total people, sex","2016",780,
"506634 Mahurangi","Total people, age","Total people, sex","2016",400,
"506642 South Head","Total people, age","Total people, sex","2016",1670,
"506644 Parakai Rural","Total people, age","Total people, sex","2016",630,
"506645 Parakai Urban","Total people, age","Total people, sex","2016",1140,
"506646 Kaukapakapa Rural","Total people, age","Total people, sex","2016",2770,
"506647 Kaukapakapa","Total people, age","Total people, sex","2016",490,
"506648 Helensville South","Total people, age","Total people, sex","2016",640,
"506652 Rewiti","Total people, age","Total people, sex","2016",2250,
"506653 Riverhead","Total people, age","Total people, sex","2016",3610,
"506654 Muriwai Beach","Total people, age","Total people, sex","2016",1270,
"506655 Muriwai Valley","Total people, age","Total people, sex","2016",840,
"506656 Waitakere West","Total people, age","Total people, sex","2016",660,
"506657 Point Wells","Total people, age","Total people, sex","2016",440,
"506658 Omaha","Total people, age","Total people, sex","2016",710,
"506659 Matakana","Total people, age","Total people, sex","2016",320,
"506660 Cape Rodney","Total people, age","Total people, sex","2016",3230,
"506800 Helensville","Total people, age","Total people, sex","2016",2980,
"506661 Cape Rodney South","Total people, age","Total people, sex","2016",3190,
