Area,Age,Sex,Year at 30 June,Value,Flags
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2013",16400,
"Upper Harbour local board area","65 years and over","Total people, sex","2013",5900,
"Upper Harbour local board area","65 years and over","Total people, sex","2014",6200,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2014",17100,
"Kaipatiki local board area","65 years and over","Total people, sex","2014",10100,
"Devonport-Takapuna local board area","65 years and over","Total people, sex","2014",9000,
"Henderson-Massey local board area","65 years and over","Total people, sex","2014",12200,
"Henderson-Massey local board area","65 years and over","Total people, sex","2015",12700,
"Devonport-Takapuna local board area","65 years and over","Total people, sex","2015",9300,
"Kaipatiki local board area","65 years and over","Total people, sex","2015",10300,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2015",17600,
"Upper Harbour local board area","65 years and over","Total people, sex","2015",6600,
"Upper Harbour local board area","65 years and over","Total people, sex","2016",7000,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2016",18200,
"Kaipatiki local board area","65 years and over","Total people, sex","2016",10400,
"Devonport-Takapuna local board area","65 years and over","Total people, sex","2016",9500,
"Henderson-Massey local board area","65 years and over","Total people, sex","2016",12900,
"Henderson-Massey local board area","65 years and over","Total people, sex","2017",13200,
"Devonport-Takapuna local board area","65 years and over","Total people, sex","2017",9700,
"Kaipatiki local board area","65 years and over","Total people, sex","2017",10800,
"Hibiscus and Bays local board area","65 years and over","Total people, sex","2017",18600,
"Upper Harbour local board area","65 years and over","Total people, sex","2017",7600,
"Waitakere Ranges local board area","65 years and over","Total people, sex","1996",2800,
"Great Barrier local board area","65 years and over","Total people, sex","1996",90,
"Waiheke local board area","65 years and over","Total people, sex","1996",980,
"Waitemata local board area","65 years and over","Total people, sex","1996",3400,
"Whau local board area","65 years and over","Total people, sex","1996",6900,
"Albert-Eden local board area","65 years and over","Total people, sex","1996",8900,
"Puketapapa local board area","65 years and over","Total people, sex","1996",5800,
"Orakei local board area","65 years and over","Total people, sex","1996",9400,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","1996",6700,
"Howick local board area","65 years and over","Total people, sex","1996",8400,
"Howick local board area","65 years and over","Total people, sex","2001",10000,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2001",6300,
"Orakei local board area","65 years and over","Total people, sex","2001",9500,
"Puketapapa local board area","65 years and over","Total people, sex","2001",5700,
"Albert-Eden local board area","65 years and over","Total people, sex","2001",8200,
"Whau local board area","65 years and over","Total people, sex","2001",7400,
"Waitemata local board area","65 years and over","Total people, sex","2001",3400,
"Waiheke local board area","65 years and over","Total people, sex","2001",1040,
"Great Barrier local board area","65 years and over","Total people, sex","2001",100,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2001",3200,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2006",3500,
"Great Barrier local board area","65 years and over","Total people, sex","2006",150,
"Waiheke local board area","65 years and over","Total people, sex","2006",1060,
"Waitemata local board area","65 years and over","Total people, sex","2006",3800,
"Whau local board area","65 years and over","Total people, sex","2006",8400,
"Albert-Eden local board area","65 years and over","Total people, sex","2006",7800,
"Puketapapa local board area","65 years and over","Total people, sex","2006",5900,
"Orakei local board area","65 years and over","Total people, sex","2006",10200,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2006",6100,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2007",6300,
"Orakei local board area","65 years and over","Total people, sex","2007",10400,
"Puketapapa local board area","65 years and over","Total people, sex","2007",6000,
"Albert-Eden local board area","65 years and over","Total people, sex","2007",7900,
"Whau local board area","65 years and over","Total people, sex","2007",8500,
"Waitemata local board area","65 years and over","Total people, sex","2007",3900,
"Waiheke local board area","65 years and over","Total people, sex","2007",1110,
"Great Barrier local board area","65 years and over","Total people, sex","2007",160,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2007",3600,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2008",3700,
"Great Barrier local board area","65 years and over","Total people, sex","2008",160,
"Waiheke local board area","65 years and over","Total people, sex","2008",1150,
"Waitemata local board area","65 years and over","Total people, sex","2008",4100,
"Whau local board area","65 years and over","Total people, sex","2008",8600,
"Albert-Eden local board area","65 years and over","Total people, sex","2008",7900,
"Puketapapa local board area","65 years and over","Total people, sex","2008",6000,
"Orakei local board area","65 years and over","Total people, sex","2008",10600,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2008",6400,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2009",6500,
"Orakei local board area","65 years and over","Total people, sex","2009",10800,
"Puketapapa local board area","65 years and over","Total people, sex","2009",6100,
"Albert-Eden local board area","65 years and over","Total people, sex","2009",8100,
"Whau local board area","65 years and over","Total people, sex","2009",8700,
"Waitemata local board area","65 years and over","Total people, sex","2009",4200,
"Waiheke local board area","65 years and over","Total people, sex","2009",1200,
"Great Barrier local board area","65 years and over","Total people, sex","2009",160,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2009",3800,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2010",4000,
"Great Barrier local board area","65 years and over","Total people, sex","2010",180,
"Waiheke local board area","65 years and over","Total people, sex","2010",1280,
"Waitemata local board area","65 years and over","Total people, sex","2010",4400,
"Whau local board area","65 years and over","Total people, sex","2010",8800,
"Albert-Eden local board area","65 years and over","Total people, sex","2010",8200,
"Puketapapa local board area","65 years and over","Total people, sex","2010",6100,
"Orakei local board area","65 years and over","Total people, sex","2010",11000,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2010",6700,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2011",7000,
"Orakei local board area","65 years and over","Total people, sex","2011",11300,
"Puketapapa local board area","65 years and over","Total people, sex","2011",6200,
"Albert-Eden local board area","65 years and over","Total people, sex","2011",8500,
"Whau local board area","65 years and over","Total people, sex","2011",9000,
"Waitemata local board area","65 years and over","Total people, sex","2011",4600,
"Waiheke local board area","65 years and over","Total people, sex","2011",1370,
"Great Barrier local board area","65 years and over","Total people, sex","2011",190,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2011",4200,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2012",4500,
"Great Barrier local board area","65 years and over","Total people, sex","2012",210,
"Waiheke local board area","65 years and over","Total people, sex","2012",1490,
"Waitemata local board area","65 years and over","Total people, sex","2012",5000,
"Whau local board area","65 years and over","Total people, sex","2012",9200,
"Albert-Eden local board area","65 years and over","Total people, sex","2012",8800,
