,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Matamata-Piako District Council,8040,7739,8128,8824,8964,9241,12359,12252,13627,14901,16153,16768,17503,18488,20216,22025,23666,24779,25852,27809,30672,30791,31298,32097
Napier City Council,20699,21334,20744,21370,24194,25811,26560,27628,28526,29581,30824,32834,34150,36300,38333,39708,41725,42898,43799,44840,46162,46867,47673,49646
Nelson City Council,12412,12596,13531,14525,16700,17635,18733,16957,21855,23023,24414,26830,28879,32508,37120,40819,45739,48180,51147,54705,58112,59569,62715,57886
New Plymouth District Council,28859,27825,28087,28028,29289,30229,30467,31045,31920,32745,33749,34661,37125,39156,41990,48491,52831,58348,61373,64564,67524,70098,75214,78059
North Shore City Council,63357,68203,69572,73520,80917,75655,82918,92934,99716,103643,108378,114860,122417,132413,147044,160864,198950,211754,65778,..,..,..,..,..
Northland Regional Council,2769,2790,2769,2782,2842,2954,2990,3164,3255,3425,3445,3992,4585,5602,7916,8761,10728,12359,13306,16158,17085,18343,18549,19910
Opotiki District Council,2944,3203,2875,3602,3286,3078,3066,4717,4906,4942,5194,5388,5449,6131,6453,6670,7062,7347,7666,8058,8488,8760,8148,9851
Otago Regional Council,10332,10158,8981,8583,7302,6772,4996,5799,6118,6064,6414,6659,6893,8481,9181,10854,12056,15870,16103,15991,15311,15650,13551,14424
Otorohanga District Council,4398,4353,4330,4932,5133,5425,5743,5609,5645,5829,6145,6373,6641,7139,7806,8184,8684,9609,9897,9966,10270,10567,10790,10943
Palmerston North City Council,26349,27112,28334,29754,30621,31905,32866,34227,34441,36312,37242,40380,42534,46017,49514,53467,59638,63529,65527,68722,73356,77157,79618,83372
Papakura District Council,13650,14032,13730,14208,14482,8399,8121,8931,10313,12516,14219,15726,17323,21032,21902,23601,26648,27598,11178,..,..,..,..,..
Porirua City Council,16006,16958,18345,21925,20181,24186,25152,25435,25836,26735,28092,29231,30300,31458,34375,37407,38670,39902,42494,45008,46993,48456,51354,54423
Queenstown Lakes District Council,9094,9519,10177,12394,13363,14995,15651,16168,17583,18649,23476,26146,28584,31077,33622,37703,42089,46132,51353,53490,55773,56546,56808,58877
Rangitikei District Council,7296,7574,7605,7866,7971,8525,8929,9648,10101,9851,10057,10709,11276,11864,12205,13182,14512,15611,16122,17084,18599,19297,19317,20025
Rodney District Council,26471,29482,28923,30748,34258,40103,40015,45717,48640,52669,56199,61539,66171,73039,81762,88263,98182,96261,35075,..,..,..,..,..
Rotorua District Council,31866,32891,34217,35236,35623,38335,38463,39352,40032,41430,43383,45207,46233,52815,56836,58726,60608,62103,64070,67820,68145,68022,69769,76634
Ruapehu District Council,5967,6320,6577,7903,7899,8795,8916,9439,10164,10362,11168,12067,12572,13272,15180,16034,16703,16550,18098,17234,18212,19373,20211,21481
Selwyn District Council,5901,6233,6491,6435,6812,7634,7557,8209,8840,9133,10122,11281,12324,13856,15682,17636,19415,21673,22864,27080,28439,31361,36845,42177
South Taranaki District Council,11921,12625,12790,13295,13823,12723,13174,14656,14991,15323,15870,18952,19645,21133,23169,24052,26050,27745,30784,32218,28140,29050,30300,31175
South Waikato District Council,8886,8997,9021,9437,10096,10664,10390,10871,11887,12443,12957,13508,14064,14851,15773,16057,16782,17549,18171,19292,20480,21194,23115,24615
South Wairarapa District Council,3100,3483,3444,3600,3759,3964,4477,4885,4976,5294,5550,5728,5924,6219,6704,7049,8031,9475,10158,10405,11078,11516,11913,12448
Southland District Council,13577,13935,14736,15366,15455,15828,16086,16429,17299,17577,19228,20910,22090,23462,25298,26674,29314,31790,34509,36990,38060,39504,40749,41468
Southland Regional Council,5293,5528,5524,5695,4281,4589,4993,5137,5280,5670,6106,6203,6486,7127,7663,7991,9347,10182,10533,11294,12333,12859,13726,14610
Stratford District Council,3114,3313,3418,3679,3816,4059,4107,4268,4394,4236,4728,5385,5868,6281,7052,7722,8142,8629,8918,9308,10029,10178,10374,10802
Taranaki Regional Council,4384,4530,4557,4532,3951,3672,3592,3478,3348,3098,4240,4302,4384,4902,6022,6178,6577,7027,8317,8753,8843,9000,9158,9128
Tararua District Council,7436,7576,7724,9097,9351,9821,9692,9746,9679,10299,10935,11641,12161,12586,13857,14779,15854,16630,17204,18045,18774,19826,20469,21008
Tasman District Council,12348,12015,12389,13642,15212,16488,17059,18982,18494,19420,20992,26266,29477,33086,38144,41346,44841,49083,48126,51280,54957,56576,59201,61343
Taupo District Council,11217,11204,11375,11237,15450,15723,17165,20129,20950,22220,24339,25775,28217,31167,34522,38194,38590,41815,45626,47913,50265,55567,58278,59712
Tauranga City Council,26625,27880,28456,29857,32275,34882,39328,42094,43597,46404,46631,46509,50842,55943,64979,68924,73964,82370,90593,101904,121683,108048,116627,120317
Thames-Coromandel District Council,14073,14580,15473,17689,17124,19377,21637,22883,23764,25961,28357,34464,34624,36672,40422,47574,52825,56318,58055,57855,54095,55249,55861,58714
Timaru District Council,15813,15786,16508,16924,17515,19535,18088,18551,18888,19255,20001,21110,22275,23784,27186,28601,30739,31774,33325,35571,38889,41180,42910,46072
Upper Hutt City Council,13811,14113,14957,15138,15360,15857,15977,16041,16603,16849,17777,18715,19842,21144,22146,23711,25027,26478,27580,28931,30268,31049,33022,34292
Waikato District Council,14730,15733,17233,18571,19611,20599,21284,21098,21976,22673,23729,24758,25870,27159,31320,34616,35861,38892,47714,50177,56079,58793,62610,68190
Waikato Regional Council,15804,15889,16357,16716,17499,18567,18846,19899,21133,22807,28644,32357,38725,44872,53466,59768,62839,66509,69687,72551,75283,77497,79140,81586
Waimakariri District Council,8320,8638,9339,10020,11339,12442,13482,14341,15234,17225,17509,19068,19969,22278,25732,27657,29731,31535,33555,37409,39477,42442,46157,49807
Waimate District Council,2869,3084,3301,3236,3427,3527,3674,4061,3984,4124,4313,4281,4584,4887,5322,5697,6196,6335,6773,7223,7840,8232,8560,8783
Waipa District Council,14573,14020,14736,15176,15117,16137,17012,18917,19234,20133,20946,21660,22872,24604,26919,29290,32233,35376,37740,39186,41156,42913,44832,46393
Wairoa District Council,4777,4892,5037,4996,5408,5536,5762,6063,5951,6306,6593,6586,7223,7230,7858,7989,8574,8864,9415,9767,10176,10232,13736,11549
Waitakere City Council,55385,62827,64449,68446,76672,66617,70742,72292,72710,74928,83290,88359,92605,101127,110579,117957,148662,156691,58944,..,..,..,..,..
Waitaki District Council,9330,13926,10233,10642,11070,11681,13409,13481,13791,14148,15268,16312,17167,18530,19776,21232,23156,24038,24633,25795,27674,28769,29367,29878
Waitomo District Council,4387,4612,4279,4757,5379,5394,5694,5744,6404,6212,6404,6614,6365,7823,9152,10631,12111,13777,14083,15498,16015,16743,17451,17772
Whanganui District Council,21503,22515,22749,22977,23845,23225,23191,23947,24719,25664,26747,28193,29690,30179,31263,33791,35760,37160,39048,41346,44269,46370,49222,54316
Wellington City Council,98889,108482,105472,103505,101026,102496,103054,115207,121163,129808,135666,137391,145776,160470,172697,181023,196145,203462,213055,220364,227229,235218,241270,257936
West Coast Regional Council,1504,1604,1800,2048,2396,2202,2315,2522,2538,2382,2462,2612,2792,2920,2936,2972,2918,3359,3506,3679,3707,3979,4229,3977
Western Bay of Plenty District Council,10191,10418,11240,11243,15228,17471,21325,21812,24041,24973,26195,28134,29625,31053,34020,37579,41113,42934,45521,47997,50055,52757,54710,57203
Westland District Council,2768,2876,2875,3112,3260,3434,3420,3518,3570,3838,3898,4094,4347,5464,6015,5618,5862,6302,7745,8347,7839,7954,9853,10919
Whakatane District Council,11239,11476,11475,12145,12044,12883,14088,14015,15474,16258,15809,15834,17291,19879,23122,25929,28162,30134,32212,30595,31945,35500,35595,37459
Whangarei District Council,29438,29389,29735,25542,24636,25468,25933,26183,26793,27648,27914,30754,31464,46471,51207,57865,62535,63348,66165,69986,61890,64687,66391,75630
